,id,keywords
0,27854,"[{'id': 514, 'name': 'spain'}, {'id': 393, 'name': 'civil war'}, {'id': 1755, 'name': 'fascism'}, {'id': 5509, 'name': 'spanish civil war (1936-39)'}, {'id': 214548, 'name': '1930s'}]"
1,40719,"[{'id': 2493, 'name': 'oklahoma'}, {'id': 10322, 'name': 'native american'}, {'id': 10590, 'name': 'oil'}, {'id': 155291, 'name': 'cowboy'}, {'id': 205850, 'name': 'turn of the century'}]"
2,90799,"[{'id': 4344, 'name': 'musical'}, {'id': 11321, 'name': 'animated scene'}, {'id': 155457, 'name': 'screwball comedy'}]"
3,22178,"[{'id': 441, 'name': 'assassination'}, {'id': 2652, 'name': 'nazi'}, {'id': 1562, 'name': 'hostage'}, {'id': 836, 'name': 'resistance'}, {'id': 1956, 'name': 'world war ii'}, {'id': 3262, 'name': 'surgeon'}, {'id': 3539, 'name': 'czechoslovakia'}, {'id': 3530, 'name': 'prague, czech republic'}, {'id': 15272, 'name': 'gestapo'}, {'id': 33456, 'name': 'double cross'}, {'id': 189422, 'name': 'nazi occupation'}, {'id': 322300, 'name': 'assassination of reinhard heydrich (1942)'}, {'id': 322301, 'name': 'lidice massacre'}]"
4,26533,"[{'id': 447, 'name': 'post-traumatic stress disorder (ptsd)'}, {'id': 1968, 'name': 'prisoner of war'}, {'id': 2754, 'name': 'trauma'}, {'id': 5509, 'name': 'spanish civil war (1936-39)'}, {'id': 9807, 'name': 'film noir'}, {'id': 155717, 'name': 'footsteps'}]"
5,98482,[]
6,45216,"[{'id': 188294, 'name': 'damsel in distress'}, {'id': 267475, 'name': 'war orphan'}]"
7,2202,"[{'id': 388, 'name': 'scotland'}, {'id': 2526, 'name': 'human animal relationship'}, {'id': 4427, 'name': 'honesty'}, {'id': 9180, 'name': 'yorkshire'}, {'id': 15162, 'name': 'dog'}, {'id': 158185, 'name': 'collie dog'}, {'id': 178869, 'name': 'lassie'}, {'id': 189092, 'name': 'journey'}, {'id': 208152, 'name': 'pets'}]"
8,31770,[]
9,18727,"[{'id': 6155, 'name': 'afterlife'}, {'id': 6154, 'name': 'hell'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 14999, 'name': 'devil'}]"
10,177751,"[{'id': 1956, 'name': 'world war ii'}, {'id': 230436, 'name': 'battle of the atlantic'}]"
11,15807,"[{'id': 1956, 'name': 'world war ii'}, {'id': 2532, 'name': 'bomber'}, {'id': 3365, 'name': 'pearl harbor'}, {'id': 3366, 'name': 'u.s. air force'}, {'id': 3779, 'name': 'air force'}, {'id': 6895, 'name': 'philippines'}, {'id': 181641, 'name': 'manila philippines'}, {'id': 261495, 'name': 'wake island'}]"
12,43518,"[{'id': 291, 'name': 'circus'}, {'id': 4344, 'name': 'musical'}, {'id': 156623, 'name': 'trapeze'}, {'id': 181564, 'name': 'armed forces'}]"
13,43517,"[{'id': 6092, 'name': 'army'}, {'id': 1956, 'name': 'world war ii'}]"
14,114186,[]
15,67967,"[{'id': 1691, 'name': 'dance'}, {'id': 1956, 'name': 'world war ii'}, {'id': 4344, 'name': 'musical'}, {'id': 10229, 'name': 'singer'}, {'id': 13065, 'name': 'soldier'}, {'id': 161246, 'name': 'pacific theater'}, {'id': 164623, 'name': 'chorus girl'}]"
16,161512,"[{'id': 1704, 'name': 'ambassador'}, {'id': 191543, 'name': 'stalinism'}]"
17,162110,"[{'id': 334, 'name': 'flying'}, {'id': 5265, 'name': 'espionage'}, {'id': 8083, 'name': 'pacific'}, {'id': 169814, 'name': 'aviator'}]"
18,60216,"[{'id': 612, 'name': 'hotel'}, {'id': 1160, 'name': 'egypt'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2968, 'name': 'grave'}, {'id': 11122, 'name': 'german officer'}, {'id': 157788, 'name': 'british soldier'}, {'id': 159422, 'name': 'assumed identity'}, {'id': 177771, 'name': 'rommel'}]"
19,150778,"[{'id': 582, 'name': 'san francisco, california'}, {'id': 1668, 'name': 'hawaii'}, {'id': 190431, 'name': 'bataan'}, {'id': 207239, 'name': 'army nurse'}]"
20,85677,"[{'id': 931, 'name': 'jealousy'}, {'id': 128, 'name': 'love triangle'}, {'id': 1233, 'name': 'composer'}, {'id': 4048, 'name': 'musician'}, {'id': 2541, 'name': 'tyrol'}]"
21,18783,"[{'id': 11117, 'name': 'tank'}, {'id': 11400, 'name': 'sergeant'}, {'id': 18034, 'name': 'desert'}, {'id': 207428, 'name': 'desert warfare'}]"
22,80616,"[{'id': 521, 'name': 'washington dc, usa'}, {'id': 2439, 'name': 'coffee'}, {'id': 158071, 'name': 'binoculars'}, {'id': 193572, 'name': 'housing shortage'}, {'id': 199327, 'name': 'classified ad'}]"
23,43516,"[{'id': 254, 'name': 'france'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 745, 'name': 'nun'}, {'id': 2335, 'name': 'southern france'}, {'id': 2618, 'name': 'miracle'}, {'id': 5565, 'name': 'biography'}, {'id': 10629, 'name': 'vision'}, {'id': 11001, 'name': 'religion'}, {'id': 14765, 'name': 'church'}, {'id': 18396, 'name': 'catholic'}, {'id': 155623, 'name': 'lourdes france'}, {'id': 165470, 'name': 'convent (nunnery)'}, {'id': 178611, 'name': 'virgin mary'}, {'id': 198856, 'name': 'french countryside'}, {'id': 207928, 'name': '19th century'}, {'id': 251424, 'name': 'covenant'}, {'id': 268016, 'name': 'spring (water)'}]"
24,48993,"[{'id': 1415, 'name': 'small town'}, {'id': 6092, 'name': 'army'}, {'id': 13014, 'name': 'orphan'}, {'id': 188938, 'name': 'telegraph office'}]"
25,37631,"[{'id': 5565, 'name': 'biography'}, {'id': 8691, 'name': 'marie curie'}, {'id': 9741, 'name': 'radioactivity'}, {'id': 8012, 'name': 'physicist'}, {'id': 10124, 'name': 'laboratory'}, {'id': 193923, 'name': 'sorbonne'}, {'id': 228384, 'name': 'female scientist'}]"
