,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,/mVrjkPOgQA0qrIYlo9DlVdTiwQJ.jpg,,3000000,"[{'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",,27854,tt0035896,en,For Whom the Bell Tolls,Spain in the 1930s is the place to be for a man of action like Robert Jordan. There is a civil war going on and Jordan—who has joined up on the side that appeals most to idealists of that era—has been given a high-risk assignment up in the mountains. He awaits the right time to blow up a crucial bridge in order to halt the enemy's progress.,20.003,/j5tBLqs599srb0lryNZIlAWfWWy.jpg,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-07-12,17800000,170,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Thunderous! Tender! Touching!,For Whom the Bell Tolls,False,6.568,176
1,False,/jS8ADXQOTmca4jnCh0hPzNj9EBX.jpg,,0,"[{'id': 37, 'name': 'Western'}]",,40719,tt0036038,en,In Old Oklahoma,"Cowboy Dan Somers and oilman Jim ""Hunk"" Gardner compete for oil lease rights on Indian land in Oklahoma, as well as for the favors of schoolteacher Cathy Allen.",5.444,/eGbzSYoVFEfQBepFnlqmBIFRQsk.jpg,"[{'id': 1432, 'logo_path': '/8AcaWEWQ8MFUBGlt9WxGGBAMpMG.png', 'name': 'Republic Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-12-06,0,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,BATTLE-HEAT! Untamed men clash in a well of violence!,In Old Oklahoma,False,6.5,33
2,False,/gAOeYhO0m1jMu7vC8CY6dSspw9D.jpg,,0,"[{'id': 35, 'name': 'Comedy'}]",,90799,tt0035996,en,Hi Diddle Diddle,"When the bride's mother is supposedly swindled out of her money by a spurned suitor, the groom's father orchestrates a scheme of his own to set things right. He is aided by a cabaret singer, while placating a jealous wife.",3.021,/6ZKJotSaxIdClD1ekmfXUjVmzn5.jpg,"[{'id': 14828, 'logo_path': None, 'name': 'Andrew L. Stone Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-08-02,0,72,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,His bride was EVERYTHING he thought she was...and an air-raid warden besides!,Hi Diddle Diddle,False,6.9,10
3,False,/7rL5tbuSmtpKeLAKcBTqQwmXAGj.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",,22178,tt0035966,en,Hangmen Also Die!,"During the Nazi occupation of Czechoslovakia, surgeon Dr. Franticek Svoboda, a Czech patriot, assassinates the brutal ""Hangman of Europe"", Reichsprotektor Reinhard Heydrich, and is wounded in the process. In his attempt to escape, he is helped by history professor Stephen Novotny and his daughter Mascha.",9.138,/d9J86BpP7NLreJJ9VCbr1SDMRii.jpg,"[{'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}, {'id': 1486, 'logo_path': None, 'name': 'Arnold Pressburger Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-04-15,0,134,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,The shot heard 'round the world!,Hangmen Also Die!,False,7.0,110
4,False,/t2PauqiXhhI0H1cdzeC79DQtdfJ.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,26533,tt0035860,en,The Fallen Sparrow,"Imprisoned during the Spanish Civil War, John ""Kit"" McKittrick is released when a New York City policeman pulls some strings. Upon returning to America, McKittrick hears that a friend has committed suicide, and he begins to smell a rat. During his investigation, McKittrick questions three beautiful women, one of whom has a tie to his refugee past. Pursued by Nazi operatives, McKittrick learns of the death of another friend, and begins to suspect the dark Dr. Skaas.",3.139,/5OhbU7Mfr9gsewp1BtW36tWCcj3.jpg,"[{'id': 6, 'logo_path': '/n53F7K9scQWFXYbrCablqLKqJdp.png', 'name': 'RKO Radio Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-08-19,0,94,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,No woman was going to play him for a sucker!,The Fallen Sparrow,False,5.675,20
5,False,/2mzYk9Z8E7mrD4XWQcQdO1XUyK6.jpg,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",,98482,tt0035746,en,Commandos Strike at Dawn,"A gentle widower, enraged at Nazi atrocities against his peaceful Norwegian fishing village, escapes to Britain and returns leading a commando force against the oppressors.",4.277,/kMvsvDDYYaUPN5XdPnCqaEvTvgD.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1942-12-30,0,98,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,At Last On The Screen! The Mighty Story Of The World-Famous COMMANDOS!,Commandos Strike at Dawn,False,5.263,18
6,False,/efx8xr7KcGZybnaI7p2CtZ8ULTV.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",,45216,tt0035631,en,The Amazing Mrs. Holliday,A missionary tries to outwit the U.S. government and smuggle Chinese orphans into the country.,2.04,/2Zu6V1RLNOwngY7TtrcrF7NqTLb.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-02-19,0,96,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,As a Secret Wife...She Doesn't Do Bad!,The Amazing Mrs. Holliday,False,6.4,7
7,False,/yzf3b8zFC2ol90eGL0VySETR94K.jpg,"{'id': 943645, 'name': ""MGM's Lassie Collection"", 'poster_path': '/zHSS51r8nJuY6XmicNGaKASktsK.jpg', 'backdrop_path': '/4jTpjczkculRnNEcZRCSZpXHp0e.jpg'}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,2202,tt0036098,en,Lassie Come Home,"Hard times come for the Carraclough family and they are forced to sell their dog, Lassie, to the rich Duke of Rudling. Lassie, however, is unwilling to remain apart from young Carraclough son Joe and sets out on a long and dangerous journey to rejoin him.",12.328,/boMs7uR8yJEnHKSvzkszS6eenmz.jpg,"[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-12-01,0,88,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A Thrilling Saga Of Courage And Loyalty !,Lassie Come Home,False,6.692,120
8,False,/m5zD9Bw7VS3jLCiVNTMG3Cd8TFk.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,31770,tt0035982,en,"Hello, Frisco, Hello","In turn-of-the-century San Francisco, an ambitious vaudevillian takes his quartet from a honky tonk to the big time, while spurning the love of his troupe's star singer for a selfish heiress.",4.73,/jHg4pd06QUq1iFoVaIEnOGUlhr3.jpg,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-03-26,0,99,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,SINGING...DANCING...ROMANCING ON THE GLITTERING BARBARY COAST!,"Hello, Frisco, Hello",False,6.2,30
9,False,/aFC3WobznJXjq9UgZT8AC1innhe.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",,18727,tt0035979,en,Heaven Can Wait,"Spoiled playboy Henry van Cleve dies and arrives at the entrance to Hell, a final destination he is sure he deserves after living a life of profligacy. The devil, however, isn't so sure Henry meets Hell's standards. Convinced he is where he belongs, Henry recounts his life's deeds, both good and bad, including an act of indiscretion during his 25-year marriage to his wife, Martha, with the hope that ""His Excellency"" will arrive at the proper judgment.",16.613,/c0jKfLvvggNqvMDhOWxaBMGXkz7.jpg,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-08-05,0,112,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,He believed in Love… Honor… and Obey – That Impulse!,Heaven Can Wait,False,6.89,209
10,False,/mxw0wpRO6ZlLgIGTwr2HMjloNmx.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,177751,tt0035757,en,Corvette K-225,"The story of a Canadian WWII naval vessel, with a dramatic subplot concerning her first captain.",2.341,/wh1zsNsElJNKkH5h6dQAXLR0NCV.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-09-29,0,98,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Thrilling ACTION! Stark REALISM!,Corvette K-225,False,6.182,11
