,year_film,year_award,ceremony,category,nominee,film,win,tmdb_id
0,1943,1944,1,ACTRESS IN A SUPPORTING ROLE,Katina Paxinou,For Whom The Bell Tolls,True,27854.0
1,1943,1944,1,ACTOR IN A SUPPORTING ROLE,Akim Tamiroff,For Whom The Bell Tolls,True,27854.0
2,1943,1944,1,DIRECTING,Henry King,The Song Of Bernadette,True,43516.0
3,1943,1944,1,BEST PICTURE (DRAMA),The Song Of Bernadette,The Song Of Bernadette,True,43516.0
4,1943,1944,1,ACTRESS (DRAMA),Jennifer Jones,The Song Of Bernadette,True,43516.0
5,1943,1944,1,ACTOR (DRAMA),Paul Lukas,Watch On The Rhine,True,68440.0
6,1944,1945,2,ACTRESS IN A SUPPORTING ROLE,Agnes Moorehead,Mrs. Parkington,True,50066.0
7,1944,1945,2,ACTOR IN A SUPPORTING ROLE,Barry Fitzgerald,Going My Way,True,17661.0
8,1944,1945,2,DIRECTING,Leo McCarey,Going My Way,True,17661.0
9,1944,1945,2,BEST PICTURE (DRAMA),Going My Way,Going My Way,True,17661.0
10,1944,1945,2,ACTRESS (DRAMA),Ingrid Bergman,Gaslight,True,13528.0
11,1944,1945,2,ACTOR (DRAMA),Alexander Knox,Wilson,True,84084.0
12,1945,1946,3,ACTRESS IN A SUPPORTING ROLE,Angela Lansbury,The Picture of Dorian Gray,True,16559.0
13,1945,1946,3,ACTOR IN A SUPPORTING ROLE,J. Carroll Naish,A Medal For Benny,True,114077.0
14,1945,1946,3,DIRECTING,Billy Wilder,The Lost Weekend,True,28580.0
15,1945,1946,3,SPECIAL AWARD,Frank Sinatra,The House I Live In,True,148075.0
16,1945,1946,3,BEST PICTURE (DRAMA),The Lost Weekend,The Lost Weekend,True,28580.0
17,1945,1946,3,ACTRESS (DRAMA),Ingrid Bergman,The Bells of St. Mary's,True,32430.0
18,1945,1946,3,ACTOR (DRAMA),Ray Milland,The Lost Weekend,True,28580.0
19,1946,1947,4,ACTRESS IN A SUPPORTING ROLE,Anne Baxter,The Razor's Edge,True,56135.0
20,1946,1947,4,ACTOR IN A SUPPORTING ROLE,Clifton Webb,The Razor's Edge,True,56135.0
21,1946,1947,4,DIRECTING,Frank Capra,It's A Wonderful Life,True,1585.0
22,1946,1947,4,SPECIAL AWARD,"Switzerland, Leopold Lindtberg",The Last Chance,True,101772.0
23,1946,1947,4,SPECIAL AWARD,Harold Russell,The Best Years Of Our Lives,False,887.0
24,1946,1947,4,BEST PICTURE (DRAMA),The Best Years Of Our Lives,The Best Years Of Our Lives,True,887.0
25,1946,1947,4,ACTRESS (DRAMA),Rosalind Russell,Sister Kenny,True,51571.0
26,1946,1947,4,ACTOR (DRAMA),Gregory Peck,The Yearling,True,19049.0
27,1947,1948,5,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,Gentleman's Agreement,True,33667.0
28,1947,1948,5,ACTOR IN A SUPPORTING ROLE,Edmund Gwenn,Miracle On 34th Street,True,11881.0
29,1947,1948,5,DIRECTING,Elia Kazan,Gentleman's Agreement,True,33667.0
30,1947,1948,5,BEST SCREENPLAY,George Seaton,Miracle On 34th Street,True,11881.0
31,1947,1948,5,BEST SCORE,Max Steiner,Life With Father,True,41465.0
32,1947,1948,5,SPECIAL AWARD,Walt Disney,Bambi,False,737374.0
33,1947,1948,5,BEST PICTURE (DRAMA),Gentleman's Agreement,Gentleman's Agreement,True,33667.0
34,1947,1948,5,SPECIAL AWARD,Dean Stockwell,Gentleman's Agreement,True,33667.0
35,1947,1948,5,ACTRESS (DRAMA),Rosalind Russell,Mourning Becomes Electra,True,82101.0
36,1947,1948,5,ACTOR (DRAMA),Ronald Colman,A Double Life,True,41206.0
37,1947,1948,5,CINEMATOGRAPHY,Jack Cardiff,Black Narcissus,True,16391.0
38,1948,1949,6,ACTRESS IN A SUPPORTING ROLE,Ellen Corby,I Remember Mama,True,43442.0
39,1948,1949,6,ACTOR IN A SUPPORTING ROLE,Walter Huston,The Treasure of the Sierra Madre,True,3090.0
40,1948,1949,6,DIRECTING,John Huston,The Treasure of the Sierra Madre,True,3090.0
41,1948,1949,6,BEST SCREENPLAY,Richard Schweizer,The Search,True,41131.0
42,1948,1949,6,BEST SCORE,Brian Easdale,The Red Shoes,True,19542.0
43,1948,1949,6,SPECIAL AWARD,Fred Zinnemann,The Search,True,41131.0
44,1948,1949,6,BEST PICTURE (DRAMA),Johnny Belinda,Johnny Belinda,True,62000.0
45,1948,1949,6,BEST PICTURE (DRAMA),The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,True,3090.0
46,1948,1949,6,SPECIAL AWARD,Ivan Jandl,The Search,True,41131.0
47,1948,1949,6,ACTRESS (DRAMA),Jane Wyman,Johnny Belinda,True,62000.0
48,1948,1949,6,ACTOR (DRAMA),Laurence Olivier,Hamlet,True,23383.0
49,1948,1949,6,FOREIGN,"United Kingdom, Laurence Olivier",Hamlet,True,23383.0
50,1948,1949,6,CINEMATOGRAPHY,Gabriel Figueroa,The Pearl,True,43459.0
51,1949,1950,7,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,All The King's Men,True,25430.0
52,1949,1950,7,ACTRESS IN A SUPPORTING ROLE,Miriam Hopkins,The Heiress,False,28571.0
53,1949,1950,7,ACTOR IN A SUPPORTING ROLE,James Whitmore,Battleground,True,31623.0
54,1949,1950,7,ACTOR IN A SUPPORTING ROLE,David Brian,Intruder In The Dust,False,80572.0
55,1949,1950,7,DIRECTING,Robert Rossen,All The King's Men,True,25430.0
56,1949,1950,7,DIRECTING,William Wyler,The Heiress,False,28571.0
57,1949,1950,7,BEST SCREENPLAY,Robert Pirosh,Battleground,True,31623.0
58,1949,1950,7,BEST SCREENPLAY,Walter Doniger,Rope of Sand,False,15481.0
59,1949,1950,7,FOREIGN,The Bicycle Thief,The Bicycle Thief,True,5156.0
60,1949,1950,7,FOREIGN,The Fallen Idol,The Fallen Idol,False,21631.0
61,1949,1950,7,BEST SCORE,Johnny Green,The Inspector General,True,40206.0
62,1949,1950,7,BEST SCORE,George Duning,All The King's Men,False,25430.0
63,1949,1950,7,SPECIAL AWARD,Vincent Sherman,The Hasty Heart,True,74286.0
64,1949,1950,7,SPECIAL AWARD,Maurice Cloche,Monsieur Vincent,False,43460.0
65,1949,1950,7,SPECIAL AWARD,The Adventures of Ichabod and Mr. Toad,,True,
66,1949,1950,7,SPECIAL AWARD,On The Town,,False,
67,1949,1950,7,BEST PICTURE (DRAMA),All The King's Men,All The King's Men,True,25430.0
68,1949,1950,7,BEST PICTURE (DRAMA),Come To The Stable,Come To The Stable,False,120481.0
69,1949,1950,7,ACTRESS (DRAMA),Olivia de Havilland,The Heiress,True,28571.0
70,1949,1950,7,ACTRESS (DRAMA),Deborah Kerr,"Edward, My Son",False,94959.0
71,1949,1950,7,ACTOR (DRAMA),Broderick Crawford,All The King's Men,True,25430.0
72,1949,1950,7,ACTOR (DRAMA),Richard Todd,The Hasty Heart,False,74286.0
73,1949,1950,7,CINEMATOGRAPHY,Franz F. Planer,Champion,True,25918.0
74,1949,1950,7,CINEMATOGRAPHY,Burnett Guffey,All The King's Men,False,25430.0
75,1950,1951,8,ACTRESS (DRAMA),Gloria Swanson,Sunset Boulevard,True,599.0
76,1950,1951,8,ACTRESS (DRAMA),Bette Davis,All About Eve,False,705.0
77,1950,1951,8,ACTRESS (DRAMA),Judy Holliday,Born Yesterday,False,24481.0
78,1950,1951,8,ACTOR (DRAMA),José Ferrer,Cyrano de Bergerac,True,43386.0
79,1950,1951,8,ACTOR (DRAMA),Louis Calhern,The Magnificent Yankee,False,101653.0
80,1950,1951,8,ACTOR (DRAMA),James Stewart,Harvey,False,11787.0
81,1950,1951,8,ACTOR (COM),Fred Astaire,Three Little Words,True,42767.0
82,1950,1951,8,ACTOR (COM),Dan Dailey,When Willie Comes Marching Home,False,54615.0
83,1950,1951,8,ACTOR (COM),Harold Lloyd,The Sin Of Harold Diddlebock,False,23001.0
84,1950,1951,8,ACTRESS IN A SUPPORTING ROLE,Josephine Hull,Harvey,True,11787.0
85,1950,1951,8,ACTRESS IN A SUPPORTING ROLE,Judy Holliday,Adam's Rib,False,25431.0
86,1950,1951,8,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,All About Eve,False,705.0
87,1950,1951,8,ACTOR IN A SUPPORTING ROLE,Edmund Gwenn,Mister 880,True,102144.0
88,1950,1951,8,ACTOR IN A SUPPORTING ROLE,Erich von Stroheim,Sunset Boulevard,False,599.0
89,1950,1951,8,ACTOR IN A SUPPORTING ROLE,George Sanders,All About Eve,False,705.0
90,1950,1951,8,DIRECTING,Billy Wilder,Sunset Boulevard,True,599.0
91,1950,1951,8,DIRECTING,George Cukor,Born Yesterday,False,24481.0
92,1950,1951,8,DIRECTING,John Huston,The Asphalt Jungle,False,16958.0
93,1950,1951,8,DIRECTING,Joseph L. Mankiewicz,All About Eve,False,705.0
