,year_film,year_ceremony,ceremony,category,name,film,winner,tmdb_id
0,1943,1944,16,ACTOR,Humphrey Bogart,Casablanca,False,289.0
1,1943,1944,16,ACTOR,Gary Cooper,For Whom the Bell Tolls,False,27854.0
2,1943,1944,16,ACTOR,Paul Lukas,Watch on the Rhine,True,68440.0
3,1943,1944,16,ACTOR,Walter Pidgeon,Madame Curie,False,37631.0
4,1943,1944,16,ACTOR,Mickey Rooney,The Human Comedy,False,48993.0
5,1943,1944,16,ACTOR IN A SUPPORTING ROLE,Charles Bickford,The Song of Bernadette,False,43516.0
6,1943,1944,16,ACTOR IN A SUPPORTING ROLE,Charles Coburn,The More the Merrier,True,80616.0
7,1943,1944,16,ACTOR IN A SUPPORTING ROLE,J. Carrol Naish,Sahara,False,18783.0
8,1943,1944,16,ACTOR IN A SUPPORTING ROLE,Claude Rains,Casablanca,False,289.0
9,1943,1944,16,ACTOR IN A SUPPORTING ROLE,Akim Tamiroff,For Whom the Bell Tolls,False,27854.0
10,1943,1944,16,ACTRESS,Jean Arthur,The More the Merrier,False,80616.0
11,1943,1944,16,ACTRESS,Ingrid Bergman,For Whom the Bell Tolls,False,27854.0
12,1943,1944,16,ACTRESS,Joan Fontaine,The Constant Nymph,False,85677.0
13,1943,1944,16,ACTRESS,Greer Garson,Madame Curie,False,37631.0
14,1943,1944,16,ACTRESS,Jennifer Jones,The Song of Bernadette,True,43516.0
15,1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Gladys Cooper,The Song of Bernadette,False,43516.0
16,1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Paulette Goddard,So Proudly We Hail!,False,150778.0
17,1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Katina Paxinou,For Whom the Bell Tolls,True,27854.0
18,1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Anne Revere,The Song of Bernadette,False,43516.0
19,1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Lucile Watson,Watch on the Rhine,False,68440.0
20,1943,1944,16,BEST PRODUCTION DESIGN,"Art Direction:  Hans Dreier, Ernst Fegte;  Interior Decoration:  Bertram Granger",Five Graves to Cairo,False,60216.0
21,1943,1944,16,BEST PRODUCTION DESIGN,"Art Direction:  Albert S. D'Agostino, Carroll Clark;  Interior Decoration:  Darrell Silvera, Harley Miller",Flight for Freedom,False,162110.0
22,1943,1944,16,BEST PRODUCTION DESIGN,"Art Direction:  Cedric Gibbons, Paul Groesse;  Interior Decoration:  Edwin B. Willis, Hugh Hunt",Madame Curie,False,37631.0
23,1943,1944,16,BEST PRODUCTION DESIGN,Art Direction:  Carl Weyl;  Interior Decoration:  George J. Hopkins,Mission to Moscow,False,161512.0
24,1943,1944,16,BEST PRODUCTION DESIGN,Art Direction:  Perry Ferguson;  Interior Decoration:  Howard Bristol,The North Star,False,48127.0
25,1943,1944,16,BEST PRODUCTION DESIGN,"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little",The Song of Bernadette,True,43516.0
26,1943,1944,16,BEST PRODUCTION DESIGN,"Art Direction:  Hans Dreier, Haldane Douglas;  Interior Decoration:  Bertram Granger",For Whom the Bell Tolls,False,27854.0
27,1943,1944,16,BEST PRODUCTION DESIGN,"Art Direction:  James Basevi, Joseph C. Wright;  Interior Decoration:  Thomas Little",The Gang's All Here,False,67967.0
28,1943,1944,16,BEST PRODUCTION DESIGN,"Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb",Phantom of the Opera,True,15855.0
29,1943,1944,16,BEST PRODUCTION DESIGN,"Art Direction:  John Hughes, Lt. John Koenig;  Interior Decoration:  George J. Hopkins",This Is the Army,False,43517.0
30,1943,1944,16,BEST PRODUCTION DESIGN,"Art Direction:  Cedric Gibbons, Daniel Cathcart;  Interior Decoration:  Edwin B. Willis, Jacques Mersereau",Thousands Cheer,False,43518.0
31,1943,1944,16,CINEMATOGRAPHY,"James Wong Howe, Elmer Dyer, Charles Marshall",Air Force,False,15807.0
32,1943,1944,16,CINEMATOGRAPHY,Arthur Edeson,Casablanca,False,289.0
33,1943,1944,16,CINEMATOGRAPHY,Tony Gaudio,Corvette K-225,False,177751.0
34,1943,1944,16,CINEMATOGRAPHY,John Seitz,Five Graves to Cairo,False,60216.0
35,1943,1944,16,CINEMATOGRAPHY,Harry Stradling,The Human Comedy,False,48993.0
36,1943,1944,16,CINEMATOGRAPHY,Joseph Ruttenberg,Madame Curie,False,37631.0
37,1943,1944,16,CINEMATOGRAPHY,James Wong Howe,The North Star,False,48127.0
38,1943,1944,16,CINEMATOGRAPHY,Rudolph Maté,Sahara,False,18783.0
39,1943,1944,16,CINEMATOGRAPHY,Charles Lang,So Proudly We Hail!,False,150778.0
40,1943,1944,16,CINEMATOGRAPHY,Arthur Miller,The Song of Bernadette,True,43516.0
41,1943,1944,16,CINEMATOGRAPHY,Ray Rennahan,For Whom the Bell Tolls,False,27854.0
42,1943,1944,16,CINEMATOGRAPHY,Edward Cronjager,Heaven Can Wait,False,18727.0
43,1943,1944,16,CINEMATOGRAPHY,"Charles G. Clarke, Allen Davey","Hello, Frisco, Hello",False,31770.0
44,1943,1944,16,CINEMATOGRAPHY,Leonard Smith,Lassie Come Home,False,2202.0
45,1943,1944,16,CINEMATOGRAPHY,"Hal Mohr, W. Howard Greene",Phantom of the Opera,True,15855.0
46,1943,1944,16,CINEMATOGRAPHY,George Folsey,Thousands Cheer,False,43518.0
47,1943,1944,16,BEST DIRECTOR,Michael Curtiz,Casablanca,True,289.0
48,1943,1944,16,BEST DIRECTOR,Ernst Lubitsch,Heaven Can Wait,False,18727.0
49,1943,1944,16,BEST DIRECTOR,Clarence Brown,The Human Comedy,False,48993.0
50,1943,1944,16,BEST DIRECTOR,George Stevens,The More the Merrier,False,80616.0
51,1943,1944,16,BEST DIRECTOR,Henry King,The Song of Bernadette,False,43516.0
52,1943,1944,16,FILM EDITING,George Amy,Air Force,True,15807.0
53,1943,1944,16,FILM EDITING,Owen Marks,Casablanca,False,289.0
54,1943,1944,16,FILM EDITING,Doane Harrison,Five Graves to Cairo,False,60216.0
55,1943,1944,16,FILM EDITING,"Sherman Todd, John Link",For Whom the Bell Tolls,False,27854.0
56,1943,1944,16,FILM EDITING,Barbara McLean,The Song of Bernadette,False,43516.0
57,1943,1944,16,BEST SCORE,"Frank Skinner, Hans J. Salter",The Amazing Mrs. Holliday,False,45216.0
58,1943,1944,16,BEST SCORE,Max Steiner,Casablanca,False,289.0
59,1943,1944,16,BEST SCORE,"Morris Stoloff, Louis Gruenberg",Commandos Strike at Dawn,False,98482.0
60,1943,1944,16,BEST SCORE,"Roy Webb, C. Bakaleinikoff",The Fallen Sparrow,False,26533.0
61,1943,1944,16,BEST SCORE,Victor Young,For Whom the Bell Tolls,False,27854.0
62,1943,1944,16,BEST SCORE,Hanns Eisler,Hangmen Also Die,False,22178.0
63,1943,1944,16,BEST SCORE,Phil Boutelje,Hi Diddle Diddle,False,90799.0
64,1943,1944,16,BEST SCORE,Walter Scharf,In Old Oklahoma,False,40719.0
65,1943,1944,16,BEST SCORE,Leigh Harline,Johnny Come Lately,False,114186.0
66,1943,1944,16,BEST SCORE,Gerard Carbonara,The Kansan,False,68094.0
67,1943,1944,16,BEST SCORE,Arthur Lange,Lady of Burlesque,False,50001.0
